Method,Verified,AvgTime,UpperBound
CROWN,71,0.23311690140845073,100
α-CROWN,73,0.2301328767123288,100
β-CROWN,93,2.0810247311827954,99
GCP-CROWN,96,2.3001802083333334,99
BICCOS,97,3.236668041237113,99
Clip-and-Verify,97,3.517437113402062,99
